***** location : Sentiments for original sentences *****
location : + 21     - 2
price : + 5     - 0
place : + 3     - 0
food choices : + 1     - 0
red lobster : + 1     - 0
restaurants : + 1     - 0
room : + 3     - 1
hotel : + 3     - 0
check : + 1     - 0
staff : + 3     - 0
Rooms : + 1     - 0
grounds : + 1     - 0
heated swimming pool : + 1     - 0
towels : + 1     - 0
parking : + 1     - 0
rooms : + 1     - 1
tables and chairs : + 0     - 1
breakfast : + 1     - 0
fruit : + 1     - 0
Location : + 3     - 0
service : + 1     - 0
Grounds : + 1     - 0
pool : + 2     - 0
shuttle : + 1     - 0
fireworks : + 1     - 0
queues : + 0     - 1
icemachine : + 1     - 0
scales : + 0     - 1
water : + 1     - 0
sand : + 1     - 0
area : + 1     - 0
parking lot : + 1     - 0
reception : + 0     - 1
***** location : Sentiments for raw summaries *****
location : + 7     - 1
service : + 1     - 0
Grounds : + 1     - 0
pool : + 1     - 0
shuttle : + 1     - 0
hotel staff : + 0     - 1
rooms : + 0     - 1
***** location : Sentiments for final summary *****
