***** service : Sentiments for original sentences *****
staff : + 25     - 6
view of the : + 1     - 0
skyline : + 1     - 0
Staff : + 6     - 0
room : + 1     - 1
service industry : + 0     - 1
Service : + 0     - 1
women : + 0     - 1
elevators : + 0     - 1
wireless Internet : + 1     - 1
service : + 10     - 2
access : + 1     - 0
manager : + 0     - 2
shampoo bottles : + 0     - 1
front desk person : + 0     - 1
hotel : + 2     - 0
ladies : + 1     - 0
place : + 1     - 0
location : + 1     - 0
rates : + 0     - 1
price : + 0     - 1
grand piano : + 1     - 0
customer service : + 1     - 0
doorman : + 1     - 0
breakfast : + 1     - 0
front desk staff : + 2     - 4
places : + 1     - 0
sheets : + 1     - 0
internet : + 1     - 0
security staff : + 1     - 0
maps : + 1     - 0
Housekeeping : + 1     - 0
wireless internet : + 1     - 0
desk : + 1     - 0
front desk : + 1     - 1
internet access : + 3     - 0
donuts : + 1     - 0
rate : + 1     - 0
lady : + 1     - 0
wireless internet access : + 1     - 0
general manager : + 1     - 0
manger : + 1     - 0
bellman : + 1     - 0
desk staff : + 0     - 1
vacuum : + 1     - 0
porterage : + 1     - 0
bell boys : + 1     - 0
internet connection : + 1     - 0
management : + 1     - 0
front desk operator : + 1     - 0
staff member : + 0     - 1
front counter safety deposit boxes : + 0     - 1
area : + 0     - 1
space : + 1     - 0
Hotel staff : + 1     - 0
Vicky : + 1     - 0
***** service : Sentiments for raw summaries *****
service : + 4     - 0
staff : + 6     - 1
view : + 1     - 0
staff member : + 0     - 1
staff members : + 0     - 1
amenities : + 1     - 1
internet speed : + 0     - 1
***** service : Sentiments for final summary *****
