***** food : Sentiments for original sentences *****
food : + 5     - 2
chocolate chip cookies : + 2     - 0
salad : + 1     - 0
Reuben sandwich : + 1     - 0
smell : + 1     - 0
Doubletree chocolate chip cookies : + 1     - 0
clam chowder : + 1     - 0
cookies : + 9     - 0
priced : + 2     - 0
Oregon pinot noir : + 1     - 0
Food : + 1     - 1
take - out food : + 0     - 1
bar : + 2     - 0
meal : + 1     - 0
soup : + 0     - 1
breakfast : + 1     - 0
coffee bar : + 2     - 0
rooms : + 1     - 0
cookie : + 1     - 0
Cookies : + 2     - 0
price : + 2     - 0
coffee : + 1     - 0
service : + 1     - 0
wine selection : + 1     - 0
Doubletree chocolate chip cookie : + 1     - 0
heating system : + 1     - 0
staff : + 1     - 0
***** food : Sentiments for final summary *****
