***** service : Sentiments for original sentences *****
staff : + 31     - 9
breakfast music show : + 1     - 0
Front desk staff : + 1     - 0
wireless internet : + 0     - 1
time : + 1     - 0
service : + 7     - 0
gentleman : + 1     - 0
employees : + 1     - 0
crowd : + 1     - 0
maintenance crew : + 0     - 1
maid service : + 1     - 0
air : + 1     - 0
Front Desk staff : + 0     - 1
Cocktail Hour suite : + 0     - 1
food : + 1     - 0
lady : + 1     - 0
guy : + 0     - 1
Room service : + 1     - 0
clerk : + 1     - 0
girl : + 0     - 1
room service : + 0     - 1
ATM : + 0     - 1
air conditioning : + 0     - 1
hotel : + 0     - 1
cleaning staff : + 1     - 0
Employees : + 1     - 0
location : + 1     - 0
breakfast staff : + 1     - 0
Staff : + 2     - 1
maintenance : + 1     - 0
internet : + 0     - 1
wireless network : + 0     - 1
front desk person : + 0     - 1
Rooms : + 1     - 0
stay : + 1     - 0
security cameras : + 1     - 0
coupons : + 1     - 0
pool area : + 1     - 0
price : + 1     - 0
breakfast : + 1     - 0
attendant : + 1     - 0
***** service : Sentiments for final summary *****
