***** rooms : Sentiments for original sentences *****
hotel : + 9     - 4
room : + 40     - 2
bathroom : + 2     - 5
continental breakfast : + 1     - 2
parking : + 0     - 1
Street Village : + 1     - 0
Room : + 5     - 0
bed : + 10     - 1
Staff : + 3     - 0
front desk : + 1     - 1
elevators : + 0     - 9
tub : + 0     - 1
location : + 5     - 1
priced : + 2     - 0
service : + 2     - 1
fan : + 0     - 2
sitting area : + 1     - 1
artwork : + 1     - 0
view : + 9     - 0
room service : + 0     - 2
Pool : + 1     - 0
rate : + 4     - 0
rooms : + 15     - 5
beds : + 5     - 1
amenities : + 2     - 0
wireless internet : + 1     - 0
staff : + 6     - 1
attractions : + 1     - 0
restaurants : + 1     - 0
lifeguard : + 1     - 0
place : + 1     - 0
hotel room : + 1     - 1
space : + 1     - 1
views : + 1     - 0
double bed : + 1     - 0
duvets : + 1     - 0
furnishings : + 1     - 1
sheets : + 2     - 0
stay : + 1     - 0
price : + 9     - 0
air con unit : + 0     - 1
water : + 0     - 1
internet access : + 2     - 0
single room : + 1     - 0
bathrooms : + 1     - 0
swimming pool : + 0     - 1
bathtub : + 0     - 1
area : + 0     - 1
cheap : + 1     - 0
1 king bed : + 1     - 0
breakfast menu : + 1     - 0
muffins : + 0     - 1
Breakfast sandwiches : + 0     - 1
shower : + 0     - 2
hallways : + 0     - 1
soda : + 1     - 0
lady : + 1     - 0
pool area : + 0     - 1
pigeons : + 0     - 1
price category : + 1     - 0
rates : + 1     - 0
bottle of wine : + 1     - 0
bulbs : + 0     - 1
headboard : + 0     - 1
bathroom fittings : + 0     - 1
manager : + 1     - 0
adjoining rooms : + 1     - 0
stove : + 0     - 1
cutleries : + 0     - 1
prices : + 1     - 0
free wi - fi : + 1     - 0
hot water : + 1     - 0
heater : + 0     - 1
stairs : + 1     - 0
toilet paper : + 0     - 1
paper : + 0     - 1
room thermostat : + 0     - 1
d̩cor : + 1     - 0
management : + 0     - 2
accomodations : + 1     - 0
pool : + 0     - 1
sauna : + 1     - 0
window : + 0     - 2
seat : + 0     - 1
bedding : + 2     - 0
pillows : + 1     - 0
lighting : + 0     - 1
carpets : + 0     - 1
toiletries : + 1     - 0
breakfast : + 1     - 0
toilet : + 0     - 1
fridge : + 1     - 0
Area : + 1     - 0
Starlight room : + 1     - 0
skyline : + 1     - 0
beds / pillows : + 1     - 0
Elevators : + 0     - 1
cost : + 0     - 1
arrangements : + 1     - 0
***** rooms : Sentiments for final summary *****
