***** service : Sentiments for original sentences *****
staff : + 16     - 2
cookies : + 4     - 0
Shuttle : + 1     - 0
service : + 6     - 1
chocolate chip cookie : + 3     - 0
Shuttle service : + 1     - 0
security : + 0     - 1
quality : + 1     - 0
hotel employees : + 1     - 0
Room service : + 1     - 0
Staff : + 3     - 1
Service : + 2     - 1
food : + 0     - 1
shuttle : + 10     - 4
fare : + 1     - 0
Waitress : + 0     - 1
software : + 0     - 1
printer : + 1     - 1
stay : + 1     - 0
pillows : + 0     - 1
wifi : + 1     - 0
hotel staff : + 2     - 0
bell person : + 1     - 0
waiter : + 0     - 1
Front desk service : + 0     - 1
location : + 1     - 0
shuttle service : + 2     - 0
rooms : + 2     - 0
warm chocolate chips cookies : + 1     - 0
staff people : + 1     - 0
airport shuttle : + 1     - 0
hotel : + 0     - 1
staff member : + 2     - 0
internet : + 2     - 0
patio door : + 0     - 1
Front staff : + 1     - 0
airport shuttle service : + 2     - 0
front desk staff : + 3     - 1
place : + 0     - 1
served : + 1     - 0
breakfast : + 0     - 1
employee : + 1     - 0
Buses : + 1     - 0
***** service : Sentiments for raw summaries *****
service : + 0     - 3
waiter : + 0     - 1
wait times : + 0     - 1
staff : + 3     - 1
front desk staff : + 0     - 1
cost : + 0     - 1
shuttle service : + 2     - 1
***** service : Sentiments for final summary *****
