***** food : Sentiments for original sentences *****
food : + 11     - 2
view : + 4     - 0
paths : + 1     - 0
market : + 3     - 0
seafood : + 1     - 0
Food : + 2     - 1
service : + 4     - 0
penthouse : + 1     - 0
stay : + 1     - 0
beer : + 2     - 0
price : + 1     - 0
served : + 1     - 0
room service : + 1     - 0
brewery : + 1     - 0
snack : + 1     - 0
server : + 1     - 0
room : + 1     - 0
staff : + 1     - 0
soap : + 1     - 0
size : + 1     - 0
priced : + 1     - 1
location : + 1     - 0
atmosphere : + 1     - 0
beers : + 1     - 1
scene : + 0     - 1
views : + 1     - 0
quality : + 1     - 0
stalls : + 0     - 1
menu : + 0     - 1
Food services : + 1     - 0
boats : + 1     - 0
setting : + 1     - 0
brunch menu : + 1     - 0
room breakfast : + 1     - 0
***** food : Sentiments for raw summaries *****
food : + 3     - 1
portions : + 0     - 1
prices : + 1     - 0
service : + 1     - 1
in - room breakfast : + 1     - 0
food options : + 1     - 0
view : + 1     - 0
variety of food : + 1     - 0
quality : + 1     - 0
***** food : Sentiments for final summary *****
